,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/1/2015 0:00,44.94,7654,7673,0,0,4
1/1/2015 1:00,43.43,7687,7633,0,0,3
1/1/2015 2:00,38.08,7696,7654,0,0,3
1/1/2015 3:00,35.47,7448,7397,0,0,3
1/1/2015 4:00,30.83,7382,7340,0,0,4
1/1/2015 5:00,28.26,7047,7015,0,0,3
1/1/2015 6:00,25.36,7087,7059,0,0,3
1/1/2015 7:00,26.93,6870,6857,0,1,2
1/1/2015 8:00,24.95,6650,6636,0,3,2
1/1/2015 9:00,26.71,6593,6583,0,7,1
1/1/2015 10:00,30.04,6845,6838,0,11,1
1/1/2015 11:00,31.77,6871,6865,0,14,1
1/1/2015 12:00,35.09,6642,6614,0,16,1
1/1/2015 13:00,35.39,7174,7141,0,19,2
1/1/2015 14:00,31.47,7106,7074,0,17,3
1/1/2015 15:00,29.08,7114,7118,0,13,6
1/1/2015 16:00,31.03,7110,7110,0,8,5
1/1/2015 17:00,39.09,7359,7358,0,6,4
1/1/2015 18:00,47.82,7658,7656,0,4,2
1/1/2015 19:00,50.75,7842,7774,0,3,2
1/1/2015 20:00,49.3,7745,7678,0,1,2
1/1/2015 21:00,48.24,7482,7444,0,0,3
1/1/2015 22:00,49.04,7392,7338,0,0,4
1/1/2015 23:00,46.14,7494,7429,0,0,5
1/2/2015 0:00,42.29,7285,7213,0,0,8
1/2/2015 1:00,38.1,7117,7079,0,0,8
1/2/2015 2:00,38.03,7097,7054,0,0,9
1/2/2015 3:00,32.06,7233,7194,0,0,9
1/2/2015 4:00,27.66,7147,7121,0,0,10
1/2/2015 5:00,28,7014,6982,0,0,10
1/2/2015 6:00,33.44,6828,6792,0,0,11
1/2/2015 7:00,37.1,6814,6795,0,1,12
1/2/2015 8:00,39.34,6728,6717,0,2,12
1/2/2015 9:00,41.82,6854,6854,0,4,12
1/2/2015 10:00,42.19,7136,7128,0,5,11
1/2/2015 11:00,43,7242,7226,0,6,10
1/2/2015 12:00,44.02,7155,7134,0,7,10
1/2/2015 13:00,42.48,7557,7520,0,7,10
1/2/2015 14:00,39.12,7484,7457,0,7,13
1/2/2015 15:00,38.05,7344,7325,0,5,14
1/2/2015 16:00,39.49,7313,7293,0,4,14
1/2/2015 17:00,47.91,7543,7519,0,2,12
1/2/2015 18:00,52.88,8102,8018,0,1,9
1/2/2015 19:00,52.96,8198,8082,0,1,6
1/2/2015 20:00,49.91,7959,7841,0,0,4
1/2/2015 21:00,48.93,7583,7502,0,0,4
1/2/2015 22:00,50,7406,7363,0,0,3
1/2/2015 23:00,49.86,7422,7382,0,0,4
1/3/2015 0:00,39.48,7149,7100,0,0,9
1/3/2015 1:00,37.01,6984,6924,0,0,9
1/3/2015 2:00,35.61,6977,6916,0,0,9
