,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/5/2015 0:00,22.34,51003,54386,0,0,11734
1/5/2015 1:00,17.93,49198,51704,0,0,11873
1/5/2015 2:00,15.17,47612,50362,0,0,11971
1/5/2015 3:00,16.38,47273,49659,0,0,12033
1/5/2015 4:00,17.38,47782,50380,0,0,12139
1/5/2015 5:00,16.38,49714,53398,0,0,12235
1/5/2015 6:00,26.61,54481,58200,0,0,12096
1/5/2015 7:00,37.63,61336,65664,0,0,11673
1/5/2015 8:00,39.09,65060,70657,0,6,11179
1/5/2015 9:00,41.51,66134,72387,0,599,10580
1/5/2015 10:00,40.46,67670,74042,0,2025,10161
1/5/2015 11:00,40.97,68745,75034,0,3349,9809
1/5/2015 12:00,40.72,69364,75421,0,4113,9348
1/5/2015 13:00,41.92,69098,75573,0,4035,8734
1/5/2015 14:00,42,66061,73872,0,3204,7804
1/5/2015 15:00,43.1,67861,73497,0,1772,6965
1/5/2015 16:00,46.7,67366,73071,0,419,6434
1/5/2015 17:00,56.78,68617,76997,0,0,5796
1/5/2015 18:00,58.84,70026,78449,0,0,5290
1/5/2015 19:00,49.23,70083,76945,0,0,4886
1/5/2015 20:00,44.32,66896,73060,0,0,4494
1/5/2015 21:00,40,62870,68589,0,0,4220
1/5/2015 22:00,35.08,61045,66951,0,0,3915
1/5/2015 23:00,30.03,55419,62682,0,0,3510
1/6/2015 0:00,30.02,54442,58551,0,0,3280
1/6/2015 1:00,30.57,51786,55304,0,0,3079
1/6/2015 2:00,30.25,49895,53665,0,0,2869
1/6/2015 3:00,30.29,49541,53233,0,0,2610
1/6/2015 4:00,30.63,49879,53773,0,0,2355
1/6/2015 5:00,29.64,51820,55130,0,0,2339
1/6/2015 6:00,29.67,55575,57537,0,0,2468
1/6/2015 7:00,38.82,61477,64049,0,0,2661
1/6/2015 8:00,40.76,65547,68345,0,14,2877
1/6/2015 9:00,40.02,66735,69522,0,1302,3103
1/6/2015 10:00,33.99,68922,71756,0,3948,3328
1/6/2015 11:00,31.22,69984,73496,0,6237,3427
1/6/2015 12:00,30.06,70948,74200,0,7339,3598
1/6/2015 13:00,29.99,68375,72958,0,6881,3591
1/6/2015 14:00,30.73,66330,70791,0,5068,3708
1/6/2015 15:00,37.38,67530,69832,0,2595,4128
1/6/2015 16:00,40.32,67170,70559,0,532,4702
1/6/2015 17:00,45.96,68568,75586,0,1,5362
1/6/2015 18:00,45.71,70114,77106,0,0,6012
1/6/2015 19:00,39.57,69981,75605,0,0,6468
1/6/2015 20:00,32.92,67700,72204,0,0,6575
1/6/2015 21:00,29.15,63677,68491,0,0,6634
1/6/2015 22:00,28.46,61812,66825,0,0,6668
1/6/2015 23:00,26.97,58382,62690,0,0,6582
1/7/2015 0:00,24.97,54310,59093,0,0,7656
1/7/2015 1:00,24.65,51494,55844,0,0,8503
1/7/2015 2:00,24.68,49896,54726,0,0,8269
1/7/2015 3:00,25.06,49538,54427,0,0,8154
1/7/2015 4:00,26.1,51009,55143,0,0,8443
1/7/2015 5:00,26.95,53455,58221,0,0,8250
1/7/2015 6:00,31.43,57974,64507,0,0,8056
1/7/2015 7:00,45.98,66175,74039,0,0,7951
1/7/2015 8:00,47.91,69730,78607,0,10,7594
1/7/2015 9:00,48.91,70087,79042,0,381,7263
1/7/2015 10:00,50,71198,80372,0,1161,7178
1/7/2015 11:00,51.22,72597,81571,0,1931,7133
1/7/2015 12:00,50.15,72732,81977,0,2383,7221
1/7/2015 13:00,51.46,72779,81659,0,2395,7226
1/7/2015 14:00,50.88,71425,80765,0,1918,6958
1/7/2015 15:00,48,71170,79642,0,1034,6878
1/7/2015 16:00,47.14,71259,78099,0,238,6949
1/7/2015 17:00,51.07,73302,82941,0,1,7384
1/7/2015 18:00,47.42,74154,83558,0,0,8080
1/7/2015 19:00,44.83,73050,81915,0,0,8804
1/7/2015 20:00,33.86,69068,77530,0,0,9620
1/7/2015 21:00,27.42,64238,73502,0,0,10536
1/7/2015 22:00,27.02,62160,71751,0,0,11423
1/7/2015 23:00,22.11,58276,66880,0,0,12305
1/8/2015 0:00,21.92,55463,62617,0,0,14020
1/8/2015 1:00,19.35,52887,59553,0,0,15023
1/8/2015 2:00,16.11,51198,57934,0,0,15789
1/8/2015 3:00,14.93,50971,57833,0,0,16388
1/8/2015 4:00,15,51466,58491,0,0,16956
1/8/2015 5:00,19.04,53663,60728,0,0,17418
1/8/2015 6:00,26.17,58489,67054,0,0,17987
1/8/2015 7:00,38.34,64821,76358,0,0,18457
1/8/2015 8:00,37.7,70051,81031,0,7,18672
1/8/2015 9:00,32.99,70467,81261,0,295,18966
1/8/2015 10:00,31.95,71367,81285,0,861,18962
1/8/2015 11:00,33.59,72793,82767,0,1411,18775
1/8/2015 12:00,34.37,72952,82536,0,1659,18433
1/8/2015 13:00,35.08,70599,82373,0,1464,17385
1/8/2015 14:00,34.45,69135,80953,0,1032,16583
1/8/2015 15:00,38.12,69872,80655,0,523,16053
1/8/2015 16:00,32.47,69835,80101,0,121,15946
1/8/2015 17:00,36.49,72798,82446,0,3,15972
1/8/2015 18:00,31.82,73922,82616,0,0,16774
1/8/2015 19:00,32.93,73066,81815,0,0,17753
1/8/2015 20:00,29.44,69508,77291,0,0,18254
1/8/2015 21:00,28.62,65177,72793,0,0,18649
1/8/2015 22:00,26.71,63225,70320,0,0,19415
1/8/2015 23:00,15.93,59697,66306,0,0,19674
1/9/2015 0:00,11.55,56172,60655,0,0,20672
1/9/2015 1:00,13.47,53390,58081,0,0,21557
1/9/2015 2:00,11.23,51629,56324,0,0,22029
1/9/2015 3:00,9.37,51671,56662,0,0,22843
1/9/2015 4:00,10.33,52603,57058,0,0,24063
1/9/2015 5:00,10.57,55188,60363,0,0,25685
1/9/2015 6:00,20.08,60022,66898,0,0,27009
1/9/2015 7:00,34.24,66421,75286,0,0,28323
1/9/2015 8:00,29.99,72221,80585,0,14,29499
1/9/2015 9:00,28.33,72300,80646,0,324,30222
1/9/2015 10:00,28.51,72684,81257,0,920,30869
1/9/2015 11:00,31.69,73723,81159,0,1427,31193
1/9/2015 12:00,31.11,73014,81107,0,1552,31057
1/9/2015 13:00,29.95,70320,79781,0,1316,30759
1/9/2015 14:00,29.17,68766,78255,0,926,30735
1/9/2015 15:00,29.47,69928,77366,0,460,30590
1/9/2015 16:00,30.09,69754,77470,0,109,30414
1/9/2015 17:00,33.47,72613,80399,0,2,30315
1/9/2015 18:00,32.78,73472,80416,0,0,29537
1/9/2015 19:00,33.47,72283,78383,0,0,28203
1/9/2015 20:00,30.11,69185,73223,0,0,26144
1/9/2015 21:00,26.69,64544,69001,0,0,24592
1/9/2015 22:00,21.64,60546,66456,0,0,23898
1/9/2015 23:00,14.72,57626,62682,0,0,23398
1/10/2015 0:00,17.1,56864,58624,0,0,22777
1/10/2015 1:00,12.93,54210,55294,0,0,19223
1/10/2015 2:00,13.7,52189,52659,0,0,19410
1/10/2015 3:00,11.01,51709,52444,0,0,20906
1/10/2015 4:00,9.08,52336,52527,0,0,22125
1/10/2015 5:00,9.28,52356,52676,0,0,23653
1/10/2015 6:00,7.19,52650,53072,0,0,25756
1/10/2015 7:00,9.31,54720,56713,0,0,27522
1/10/2015 8:00,11.35,58754,61523,0,11,29110
1/10/2015 9:00,15.87,61653,65296,0,264,30621
1/10/2015 10:00,15.84,63755,67395,0,856,31489
1/10/2015 11:00,14.83,65362,68929,0,1456,31896
1/10/2015 12:00,15.83,65018,70018,0,1793,32164
1/10/2015 13:00,14.85,63726,68177,0,1962,32132
1/10/2015 14:00,11.42,62522,65843,0,1738,32176
1/10/2015 15:00,11.34,61923,64543,0,959,32170
1/10/2015 16:00,14.15,62851,64573,0,212,31789
1/10/2015 17:00,17.09,65019,68534,0,2,31284
1/10/2015 18:00,18.87,66530,70168,0,0,30841
1/10/2015 19:00,13.44,64412,68518,0,0,30691
1/10/2015 20:00,15.82,61531,64738,0,0,30037
1/10/2015 21:00,11.51,57787,60823,0,0,29286
1/10/2015 22:00,11.81,57144,59945,0,0,28521
1/10/2015 23:00,5.08,55801,57645,0,0,27819
1/11/2015 0:00,0.05,53291,54265,0,0,27561
1/11/2015 1:00,-2.06,49561,51115,0,0,27617
1/11/2015 2:00,-4.11,48004,48891,0,0,27641
1/11/2015 3:00,-5.06,47334,48286,0,0,27221
1/11/2015 4:00,-4.12,47722,48509,0,0,26791
1/11/2015 5:00,-0.74,48315,48670,0,0,26836
1/11/2015 6:00,-25.02,47265,47370,0,0,26745
1/11/2015 7:00,-16.94,48893,49050,0,0,26903
1/11/2015 8:00,-6.86,51708,52288,0,17,27458
1/11/2015 9:00,1.53,54508,55803,0,815,27999
1/11/2015 10:00,5.61,57371,60021,0,2329,28565
1/11/2015 11:00,9.91,59616,63873,0,3767,29304
1/11/2015 12:00,8.71,61031,65260,0,4426,29780
1/11/2015 13:00,-0.09,59205,63889,0,4464,29980
1/11/2015 14:00,-0.07,57319,62014,0,3662,30015
1/11/2015 15:00,-1.8,56704,61017,0,2004,29933
1/11/2015 16:00,0.61,57006,60654,0,525,29865
1/11/2015 17:00,13.51,61155,65292,0,0,29917
1/11/2015 18:00,11.44,64074,68279,0,0,29837
1/11/2015 19:00,14.88,63397,66954,0,0,29791
1/11/2015 20:00,9.63,60790,65072,0,0,29801
1/11/2015 21:00,9.29,58075,61825,0,0,29901
1/11/2015 22:00,10.18,58673,62740,0,0,30070
1/11/2015 23:00,-2,55915,59637,0,0,30205
1/12/2015 0:00,9.3,52942,57512,0,0,29241
1/12/2015 1:00,2.87,50638,54893,0,0,28026
1/12/2015 2:00,0.09,49370,53515,0,0,27639
1/12/2015 3:00,0.26,49333,53634,0,0,27372
1/12/2015 4:00,2.83,50307,54361,0,0,27294
1/12/2015 5:00,10.4,53091,57812,0,0,27358
1/12/2015 6:00,20.03,59863,65748,0,0,27603
1/12/2015 7:00,44.95,68821,76014,0,0,27929
1/12/2015 8:00,44.92,73355,81145,0,14,28483
1/12/2015 9:00,36.33,74249,81215,0,436,29031
1/12/2015 10:00,30.41,75408,82958,0,1382,29540
1/12/2015 11:00,30.07,76576,84313,0,2280,29891
1/12/2015 12:00,29.33,76966,84429,0,2812,30217
1/12/2015 13:00,29.39,76811,84133,0,2818,30140
1/12/2015 14:00,28.98,73631,82681,0,2219,29959
1/12/2015 15:00,29.49,75527,81578,0,1255,29666
1/12/2015 16:00,28.99,74553,81148,0,357,29499
