,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
2015-01-05 00:00:00,22.34,51003.0,54386.0,0.0,0.0,11734.0
2015-01-05 01:00:00,17.93,49198.0,51704.0,0.0,0.0,11873.0
2015-01-05 02:00:00,15.17,47612.0,50362.0,0.0,0.0,11971.0
2015-01-05 03:00:00,16.38,47273.0,49659.0,0.0,0.0,12033.0
2015-01-05 04:00:00,17.38,47782.0,50380.0,0.0,0.0,12139.0
2015-01-05 05:00:00,16.38,49714.0,53398.0,0.0,0.0,12235.0
2015-01-05 06:00:00,26.61,54481.0,58200.0,0.0,0.0,12096.0
2015-01-05 07:00:00,37.63,61336.0,65664.0,0.0,0.0,11673.0
2015-01-05 08:00:00,39.09,65060.0,70657.0,0.0,6.0,11179.0
2015-01-05 09:00:00,41.51,66134.0,72387.0,0.0,599.0,10580.0
2015-01-05 10:00:00,40.46,67670.0,74042.0,0.0,2025.0,10161.0
2015-01-05 11:00:00,40.97,68745.0,75034.0,0.0,3349.0,9809.0
2015-01-05 12:00:00,40.72,69364.0,75421.0,0.0,4113.0,9348.0
2015-01-05 13:00:00,41.92,69098.0,75573.0,0.0,4035.0,8734.0
2015-01-05 14:00:00,42.0,66061.0,73872.0,0.0,3204.0,7804.0
2015-01-05 15:00:00,43.1,67861.0,73497.0,0.0,1772.0,6965.0
2015-01-05 16:00:00,46.7,67366.0,73071.0,0.0,419.0,6434.0
2015-01-05 17:00:00,56.78,68617.0,76997.0,0.0,0.0,5796.0
2015-01-05 18:00:00,58.84,70026.0,78449.0,0.0,0.0,5290.0
2015-01-05 19:00:00,49.23,70083.0,76945.0,0.0,0.0,4886.0
2015-01-05 20:00:00,44.32,66896.0,73060.0,0.0,0.0,4494.0
2015-01-05 21:00:00,40.0,62870.0,68589.0,0.0,0.0,4220.0
2015-01-05 22:00:00,35.08,61045.0,66951.0,0.0,0.0,3915.0
2015-01-05 23:00:00,30.03,55419.0,62682.0,0.0,0.0,3510.0
2015-01-06 00:00:00,30.02,54442.0,58551.0,0.0,0.0,3280.0
2015-01-06 01:00:00,30.57,51786.0,55304.0,0.0,0.0,3079.0
2015-01-06 02:00:00,30.25,49895.0,53665.0,0.0,0.0,2869.0
2015-01-06 03:00:00,30.29,49541.0,53233.0,0.0,0.0,2610.0
2015-01-06 04:00:00,30.63,49879.0,53773.0,0.0,0.0,2355.0
2015-01-06 05:00:00,29.64,51820.0,55130.0,0.0,0.0,2339.0
2015-01-06 06:00:00,29.67,55575.0,57537.0,0.0,0.0,2468.0
2015-01-06 07:00:00,38.82,61477.0,64049.0,0.0,0.0,2661.0
2015-01-06 08:00:00,40.76,65547.0,68345.0,0.0,14.0,2877.0
2015-01-06 09:00:00,40.02,66735.0,69522.0,0.0,1302.0,3103.0
2015-01-06 10:00:00,33.99,68922.0,71756.0,0.0,3948.0,3328.0
2015-01-06 11:00:00,31.22,69984.0,73496.0,0.0,6237.0,3427.0
2015-01-06 12:00:00,30.06,70948.0,74200.0,0.0,7339.0,3598.0
2015-01-06 13:00:00,29.99,68375.0,72958.0,0.0,6881.0,3591.0
2015-01-06 14:00:00,30.73,66330.0,70791.0,0.0,5068.0,3708.0
2015-01-06 15:00:00,37.38,67530.0,69832.0,0.0,2595.0,4128.0
2015-01-06 16:00:00,40.32,67170.0,70559.0,0.0,532.0,4702.0
2015-01-06 17:00:00,45.96,68568.0,75586.0,0.0,1.0,5362.0
2015-01-06 18:00:00,45.71,70114.0,77106.0,0.0,0.0,6012.0
2015-01-06 19:00:00,39.57,69981.0,75605.0,0.0,0.0,6468.0
2015-01-06 20:00:00,32.92,67700.0,72204.0,0.0,0.0,6575.0
2015-01-06 21:00:00,29.15,63677.0,68491.0,0.0,0.0,6634.0
2015-01-06 22:00:00,28.46,61812.0,66825.0,0.0,0.0,6668.0
2015-01-06 23:00:00,26.97,58382.0,62690.0,0.0,0.0,6582.0
2015-01-07 00:00:00,24.97,54310.0,59093.0,0.0,0.0,7656.0
2015-01-07 01:00:00,24.65,51494.0,55844.0,0.0,0.0,8503.0
2015-01-07 02:00:00,24.68,49896.0,54726.0,0.0,0.0,8269.0
2015-01-07 03:00:00,25.06,49538.0,54427.0,0.0,0.0,8154.0
2015-01-07 04:00:00,26.1,51009.0,55143.0,0.0,0.0,8443.0
2015-01-07 05:00:00,26.95,53455.0,58221.0,0.0,0.0,8250.0
2015-01-07 06:00:00,31.43,57974.0,64507.0,0.0,0.0,8056.0
2015-01-07 07:00:00,45.98,66175.0,74039.0,0.0,0.0,7951.0
2015-01-07 08:00:00,47.91,69730.0,78607.0,0.0,10.0,7594.0
2015-01-07 09:00:00,48.91,70087.0,79042.0,0.0,381.0,7263.0
2015-01-07 10:00:00,50.0,71198.0,80372.0,0.0,1161.0,7178.0
2015-01-07 11:00:00,51.22,72597.0,81571.0,0.0,1931.0,7133.0
2015-01-07 12:00:00,50.15,72732.0,81977.0,0.0,2383.0,7221.0
2015-01-07 13:00:00,51.46,72779.0,81659.0,0.0,2395.0,7226.0
2015-01-07 14:00:00,50.88,71425.0,80765.0,0.0,1918.0,6958.0
2015-01-07 15:00:00,48.0,71170.0,79642.0,0.0,1034.0,6878.0
2015-01-07 16:00:00,47.14,71259.0,78099.0,0.0,238.0,6949.0
2015-01-07 17:00:00,51.07,73302.0,82941.0,0.0,1.0,7384.0
2015-01-07 18:00:00,47.42,74154.0,83558.0,0.0,0.0,8080.0
2015-01-07 19:00:00,44.83,73050.0,81915.0,0.0,0.0,8804.0
2015-01-07 20:00:00,33.86,69068.0,77530.0,0.0,0.0,9620.0
2015-01-07 21:00:00,27.42,64238.0,73502.0,0.0,0.0,10536.0
2015-01-07 22:00:00,27.02,62160.0,71751.0,0.0,0.0,11423.0
2015-01-07 23:00:00,22.11,58276.0,66880.0,0.0,0.0,12305.0
2015-01-08 00:00:00,21.92,55463.0,62617.0,0.0,0.0,14020.0
2015-01-08 01:00:00,19.35,52887.0,59553.0,0.0,0.0,15023.0
2015-01-08 02:00:00,16.11,51198.0,57934.0,0.0,0.0,15789.0
2015-01-08 03:00:00,14.93,50971.0,57833.0,0.0,0.0,16388.0
