,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
10/1/2018 0:00,59.53,0,0,48749,0,4288
10/1/2018 1:00,56.1,0,42359,47795,0,4148
10/1/2018 2:00,51.41,42696,41054,47233,0,4005
10/1/2018 3:00,47.38,42747,41825,46771,0,4333
10/1/2018 4:00,47.59,44038,42824,48534,0,4612
10/1/2018 5:00,51.61,46936,46014,52947,0,5142
10/1/2018 6:00,69.13,54292,54025,58005,0,5524
10/1/2018 7:00,77.32,61989,62398,64887,9,5874
10/1/2018 8:00,84.97,65344,65169,69410,930,6393
10/1/2018 9:00,79.56,65832,66387,74233,3315,5936
10/1/2018 10:00,73.7,67429,67605,77328,5912,6123
10/1/2018 11:00,71.63,68722,69183,79708,8035,7177
10/1/2018 12:00,63.15,68043,69638,81190,9449,8297
10/1/2018 13:00,60.24,68002,69300,81358,9758,9775
10/1/2018 14:00,56.18,66804,68308,81186,9293,11492
10/1/2018 15:00,53,65450,67475,79584,8367,12596
10/1/2018 16:00,53.37,63564,66079,77570,6361,13086
10/1/2018 17:00,60.42,63190,64988,76092,3756,13604
10/1/2018 18:00,69.93,63778,65703,73376,1112,13308
10/1/2018 19:00,75,63662,67383,75500,7,13130
10/1/2018 20:00,65.83,64046,66265,72204,0,13405
10/1/2018 21:00,53.86,60426,62409,69198,0,13496
10/1/2018 22:00,46.46,56651,58580,65642,0,13366
10/1/2018 23:00,42.5,52701,54321,60570,0,12960
10/2/2018 0:00,45.1,47214,50028,57485,0,12986
10/2/2018 1:00,44.1,45354,48186,56075,0,12817
10/2/2018 2:00,44.06,0,46396,55579,0,12599
10/2/2018 3:00,43.77,0,46815,55684,0,12464
10/2/2018 4:00,44.29,0,48220,56874,0,12541
10/2/2018 5:00,48.13,0,51614,59028,0,12786
10/2/2018 6:00,57.7,0,58657,66111,0,13288
10/2/2018 7:00,68.21,0,65372,70898,14,13950
10/2/2018 8:00,70.36,0,68093,76571,1407,14672
10/2/2018 9:00,54.53,0,68938,78991,4476,15364
10/2/2018 10:00,48.49,0,70626,83305,7217,17703
10/2/2018 11:00,46.19,0,72210,86394,8718,20661
10/2/2018 12:00,44.15,0,72488,87101,9180,23509
10/2/2018 13:00,30.79,0,72182,85509,8855,25718
10/2/2018 14:00,27.75,0,71121,83693,7668,27105
10/2/2018 15:00,30.74,0,69944,82035,6076,27986
10/2/2018 16:00,26.77,0,68403,79835,4183,28650
10/2/2018 17:00,38.68,0,66969,79426,2274,28866
10/2/2018 18:00,48.52,0,67023,78527,573,28268
10/2/2018 19:00,49.03,0,68730,78955,2,27850
10/2/2018 20:00,45.43,0,67310,76138,0,27419
10/2/2018 21:00,32.04,0,63214,73131,0,26967
10/2/2018 22:00,26.22,0,58745,70000,0,26061
10/2/2018 23:00,1.08,0,54410,66471,0,25982
10/3/2018 0:00,2.13,0,50853,60978,0,28986
10/3/2018 1:00,0.1,0,48830,60722,0,28948
10/3/2018 2:00,0.05,0,47168,60115,0,29030
10/3/2018 3:00,0.07,0,46943,60069,0,28688
10/3/2018 4:00,-0.08,0,46595,60129,0,28512
10/3/2018 5:00,-0.09,0,46969,59773,0,28248
10/3/2018 6:00,-4.97,0,45837,60012,0,28316
10/3/2018 7:00,-0.06,0,47401,60314,9,27669
10/3/2018 8:00,0.7,0,50274,62889,855,26992
10/3/2018 9:00,0.91,0,53514,66300,3351,26423
10/3/2018 10:00,-0.03,0,55150,69981,6309,26352
10/3/2018 11:00,0.03,0,56821,73940,9190,26446
10/3/2018 12:00,-0.04,0,58182,75896,11260,26170
10/3/2018 13:00,0,0,56285,74921,12049,25337
10/3/2018 14:00,0.03,0,54129,71765,11908,24245
10/3/2018 15:00,5.75,0,53175,68175,10656,22943
10/3/2018 16:00,20.28,0,52163,64855,8060,20956
10/3/2018 17:00,43.2,0,52225,62243,4589,18578
10/3/2018 18:00,63.23,0,54010,58792,1148,15420
10/3/2018 19:00,71.44,0,57231,59780,3,12782
10/3/2018 20:00,67.95,0,57160,57910,0,11155
10/3/2018 21:00,56.88,0,54380,55224,0,10372
10/3/2018 22:00,62.85,0,53183,54516,0,10139
10/3/2018 23:00,48.72,0,49951,52715,0,9716
10/4/2018 0:00,53.24,0,46397,53118,0,9463
10/4/2018 1:00,46.1,0,44741,51257,0,9069
10/4/2018 2:00,45.6,0,43530,51462,0,8848
10/4/2018 3:00,46.88,0,43974,52620,0,8486
10/4/2018 4:00,47.53,0,44965,54167,0,8243
10/4/2018 5:00,50.88,0,48301,56940,0,8231
10/4/2018 6:00,74.69,0,55729,62641,0,8411
10/4/2018 7:00,80.15,0,63316,67803,13,8392
10/4/2018 8:00,81,0,65436,73193,1504,8190
10/4/2018 9:00,82.09,0,66267,77561,5570,7298
10/4/2018 10:00,78.96,0,67175,81326,10062,6394
10/4/2018 11:00,75.34,0,68134,85237,13724,5993
10/4/2018 12:00,63.05,0,67893,87374,16075,6037
10/4/2018 13:00,54.49,0,67742,86860,16807,6182
10/4/2018 14:00,54.4,0,65768,84854,15965,6330
10/4/2018 15:00,57.61,0,65016,81497,13725,6148
10/4/2018 16:00,66.96,0,63925,75421,10156,5764
10/4/2018 17:00,77.23,0,63169,70115,5579,5326
10/4/2018 18:00,80.25,0,63887,67867,1262,5167
10/4/2018 19:00,88.08,0,66108,69027,2,5349
10/4/2018 20:00,80.67,0,65732,67690,0,5735
10/4/2018 21:00,72.22,0,61746,65339,0,6350
10/4/2018 22:00,53.98,0,57248,61243,0,6826
10/4/2018 23:00,52.25,0,53629,58839,0,7217
10/5/2018 0:00,49.57,0,50199,56103,0,8897
10/5/2018 1:00,51.16,0,47707,55532,0,9290
10/5/2018 2:00,48.91,0,46958,54730,0,9567
10/5/2018 3:00,47.36,0,47078,54227,0,9562
10/5/2018 4:00,48.28,0,48024,54964,0,9421
10/5/2018 5:00,54.18,0,50721,59504,0,9254
10/5/2018 6:00,63.62,0,56766,65321,0,9031
10/5/2018 7:00,78.87,0,64070,70248,19,8802
10/5/2018 8:00,79.74,0,66420,76978,1946,8285
10/5/2018 9:00,74.5,0,66855,82098,7812,7045
10/5/2018 10:00,55.42,0,67601,85424,14302,4824
10/5/2018 11:00,50.21,0,67959,87789,19345,3585
10/5/2018 12:00,46.64,0,67676,88615,22219,3493
10/5/2018 13:00,50.72,0,66796,87732,23055,3457
10/5/2018 14:00,48.24,0,64438,82930,21924,3313
10/5/2018 15:00,48.55,0,63889,78424,18994,3117
10/5/2018 16:00,54.98,0,62740,73490,14122,2901
10/5/2018 17:00,74.99,0,60919,66861,7649,2821
10/5/2018 18:00,78.66,0,61400,64603,1664,3502
10/5/2018 19:00,82.96,0,63843,64809,4,4788
10/5/2018 20:00,79.9,0,63564,65282,0,6349
10/5/2018 21:00,65.08,0,59916,61745,0,7727
10/5/2018 22:00,59.86,0,56599,59997,0,8445
10/5/2018 23:00,54.7,0,52560,58527,0,8830
10/6/2018 0:00,50.1,0,48999,53474,0,9688
10/6/2018 1:00,52.98,0,46089,51916,0,9072
10/6/2018 2:00,51.52,44518,44395,50354,0,8510
10/6/2018 3:00,51,43993,43640,49676,0,7907
10/6/2018 4:00,50,44477,43963,49512,0,7598
10/6/2018 5:00,46.91,44632,44397,50683,0,7422
10/6/2018 6:00,53.03,45187,46074,53135,0,7573
10/6/2018 7:00,62.37,48049,48740,55001,16,7731
10/6/2018 8:00,63.98,52291,52119,60342,1924,7715
10/6/2018 9:00,70.72,54848,54440,68705,7596,6772
10/6/2018 10:00,64.79,57119,55752,73393,13581,4561
10/6/2018 11:00,59.06,57957,56989,77903,18052,3360
10/6/2018 12:00,58,56984,57023,79965,20534,3384
10/6/2018 13:00,51.51,55227,55307,78250,20984,3923
10/6/2018 14:00,50.2,54089,52963,74365,19482,4393
10/6/2018 15:00,49.23,54244,52232,70079,16315,4668
10/6/2018 16:00,54.81,52802,51856,64401,11626,4834
10/6/2018 17:00,59.93,53149,52484,59654,6006,4639
10/6/2018 18:00,72.06,53900,53532,57858,1221,4654
10/6/2018 19:00,82.27,55566,55973,59218,2,5223
10/6/2018 20:00,70.6,55123,54626,58917,0,6178
10/6/2018 21:00,61.39,51670,51743,56098,0,6757
10/6/2018 22:00,57.02,51138,49861,54707,0,7165
10/6/2018 23:00,46.46,47771,46406,51802,0,7822
10/7/2018 0:00,50.49,44687,42575,49874,0,8532
10/7/2018 1:00,47.11,43082,40406,49784,0,9378
10/7/2018 2:00,45.75,0,39370,48079,0,10154
10/7/2018 3:00,43.02,0,38832,46796,0,9984
10/7/2018 4:00,42.5,0,39331,46067,0,9666
10/7/2018 5:00,43.8,0,40131,46306,0,9304
10/7/2018 6:00,44.6,0,40893,47789,0,8762
10/7/2018 7:00,46.56,0,42875,48218,8,8374
10/7/2018 8:00,50.71,0,45482,52308,1050,8080
10/7/2018 9:00,55.98,0,48481,57663,4475,7099
10/7/2018 10:00,55.09,0,50219,62709,8536,6286
10/7/2018 11:00,55.13,0,52437,66414,12039,5918
10/7/2018 12:00,54.06,0,52800,68320,14445,5529
10/7/2018 13:00,50.9,0,50736,66636,15346,5052
10/7/2018 14:00,49.91,0,49114,63393,14749,4613
10/7/2018 15:00,49.05,0,48086,59905,12811,4271
10/7/2018 16:00,50.21,0,47527,56672,9440,4031
10/7/2018 17:00,55.48,0,48344,54020,5062,3884
10/7/2018 18:00,70,0,50404,55104,983,3971
10/7/2018 19:00,80.94,0,53541,57768,0,4322
10/7/2018 20:00,77.07,0,52743,58381,0,4444
10/7/2018 21:00,71.47,0,49873,57113,0,4178
10/7/2018 22:00,68.3,0,49039,55803,0,3877
10/7/2018 23:00,59.91,0,46607,51787,0,3604
10/8/2018 0:00,55.59,0,44402,48364,0,3037
10/8/2018 1:00,50.3,0,42681,47349,0,3139
10/8/2018 2:00,50.16,40722,42215,47060,0,3388
10/8/2018 3:00,47.32,41018,42476,47333,0,3612
10/8/2018 4:00,47.94,42154,43852,49558,0,3950
10/8/2018 5:00,51.14,45265,47572,54448,0,4316
10/8/2018 6:00,62.79,52765,55683,59997,0,4560
10/8/2018 7:00,79.98,60498,63896,65290,10,4747
10/8/2018 8:00,82.42,64028,66732,70260,1255,4727
10/8/2018 9:00,81.58,64759,67185,76376,5992,4179
10/8/2018 10:00,66.89,66046,68247,80565,11571,3303
10/8/2018 11:00,52.06,67240,68758,83750,16348,2928
10/8/2018 12:00,51.57,66378,68713,85501,19314,2976
10/8/2018 13:00,49.96,66226,67711,85251,20418,2972
10/8/2018 14:00,52.07,65210,66559,82636,19599,2880
10/8/2018 15:00,52.81,63693,65696,79356,16960,2723
10/8/2018 16:00,61.52,61513,64083,73688,12379,2546
10/8/2018 17:00,74.9,61732,63374,66820,6446,2325
10/8/2018 18:00,85.37,61883,0,64809,1184,2412
10/8/2018 19:00,102.01,63178,67733,65359,1,2870
10/8/2018 20:00,85.77,62766,65950,64946,0,3419
10/8/2018 21:00,78.1,59367,61553,62634,0,3820
10/8/2018 22:00,58.01,55414,57328,60227,0,4007
10/8/2018 23:00,52.95,51589,52714,57053,0,4090
10/9/2018 0:00,56.77,48524,49143,55635,0,4483
10/9/2018 1:00,57.43,46577,47139,54851,0,4369
10/9/2018 2:00,55.11,0,45530,54138,0,4260
10/9/2018 3:00,52.35,0,46004,53603,0,4204
10/9/2018 4:00,54.86,0,46759,54903,0,4241
10/9/2018 5:00,57.99,0,50093,57324,0,4201
10/9/2018 6:00,74.27,0,56820,61768,0,4148
10/9/2018 7:00,91.37,0,64579,67093,10,4132
10/9/2018 8:00,96.68,0,66597,71295,1179,3991
10/9/2018 9:00,91.95,0,67018,75974,5651,3513
10/9/2018 10:00,82.54,0,67844,80389,10800,2709
10/9/2018 11:00,64.7,0,68615,84896,15420,2065
10/9/2018 12:00,54.31,0,68274,85984,18354,2169
10/9/2018 13:00,53.35,0,68376,85756,19345,2388
10/9/2018 14:00,55.64,0,66601,84833,18511,2417
10/9/2018 15:00,62.41,0,65979,80616,15899,2311
10/9/2018 16:00,68.97,0,64551,73297,11520,2112
10/9/2018 17:00,83.2,0,64014,66681,5941,1906
10/9/2018 18:00,90,0,64575,64340,1011,1966
10/9/2018 19:00,110.28,0,68241,65706,1,2373
10/9/2018 20:00,92.55,0,66237,64405,0,2867
10/9/2018 21:00,80.51,0,61751,61657,0,3377
10/9/2018 22:00,69.76,0,57747,60746,0,3747
10/9/2018 23:00,60.56,0,53254,58293,0,4097
10/10/2018 0:00,53.7,0,48937,54011,0,3592
10/10/2018 1:00,55.13,0,46839,52014,0,3331
10/10/2018 2:00,54.88,0,45451,50830,0,3048
10/10/2018 3:00,54.05,0,45609,49754,0,2812
10/10/2018 4:00,54.64,0,46615,50806,0,2658
10/10/2018 5:00,55.46,0,49130,53922,0,2646
10/10/2018 6:00,72.16,0,55906,59997,0,2919
10/10/2018 7:00,88,0,63892,64662,9,3366
10/10/2018 8:00,93.22,0,66111,69693,1090,3964
10/10/2018 9:00,86.84,0,66699,76839,5878,4351
10/10/2018 10:00,80.81,0,67471,82269,11477,4399
10/10/2018 11:00,73.69,0,68412,86461,16249,3917
10/10/2018 12:00,55.27,0,68450,89036,19483,3811
10/10/2018 13:00,53.61,0,68161,88979,20741,4432
10/10/2018 14:00,51.99,0,66707,87025,20004,5454
10/10/2018 15:00,53.68,0,66238,83790,17332,6809
10/10/2018 16:00,57.47,0,64744,79256,12684,8087
10/10/2018 17:00,69.3,0,63955,74713,6442,9518
10/10/2018 18:00,70.68,0,65035,74958,1059,12584
10/10/2018 19:00,72.88,0,69253,78410,0,16435
10/10/2018 20:00,53.71,0,68735,76007,0,19029
10/10/2018 21:00,51.18,0,64300,72159,0,19700
10/10/2018 22:00,46.74,0,60020,69594,0,19481
10/10/2018 23:00,33.04,0,55439,67314,0,19323
10/11/2018 0:00,35.01,0,51641,61160,0,18698
10/11/2018 1:00,31.71,0,49280,59593,0,18421
10/11/2018 2:00,29.97,46259,48124,58690,0,18250
10/11/2018 3:00,30.05,46348,48021,58485,0,17898
10/11/2018 4:00,35.85,47179,48878,59206,0,17742
10/11/2018 5:00,44.08,49653,52080,63119,0,17541
10/11/2018 6:00,49.98,55856,59214,68577,0,17462
10/11/2018 7:00,72.96,63410,67197,71841,10,17113
10/11/2018 8:00,71.52,66919,68795,77720,1489,16210
10/11/2018 9:00,59.8,67144,68815,82268,7005,14039
10/11/2018 10:00,49.21,68484,69523,85418,13306,10784
10/11/2018 11:00,48.61,69084,70172,88040,17951,8331
10/11/2018 12:00,47.02,68519,69639,87962,20409,7853
10/11/2018 13:00,46.9,68174,68853,86323,20753,7666
10/11/2018 14:00,49.25,66987,67785,82665,19261,7247
10/11/2018 15:00,59.95,66832,67505,78902,16106,7006
10/11/2018 16:00,65.06,64772,66060,72205,11348,7041
10/11/2018 17:00,72.85,63758,65214,68053,5546,7247
10/11/2018 18:00,81.3,64023,66138,67374,820,8513
10/11/2018 19:00,88.5,66109,69934,69328,0,10560
10/11/2018 20:00,76.34,64899,67793,68874,0,12196
10/11/2018 21:00,58.62,60900,63760,65730,0,12509
10/11/2018 22:00,52.04,58151,59567,61642,0,12247
10/11/2018 23:00,47.86,53576,55100,58229,0,11926
10/12/2018 0:00,45.85,51202,51914,57213,0,12655
10/12/2018 1:00,45.88,48964,49443,55298,0,12016
10/12/2018 2:00,45.6,47399,48122,54123,0,11501
10/12/2018 3:00,45.64,47485,48101,53464,0,11007
10/12/2018 4:00,45.8,48575,48953,53335,0,10578
10/12/2018 5:00,49.64,50825,52238,57672,0,10287
10/12/2018 6:00,56.65,56452,58772,65303,0,10163
10/12/2018 7:00,69.87,63911,65921,69910,7,10393
10/12/2018 8:00,71.47,66932,68193,75187,1218,10216
10/12/2018 9:00,69.71,67487,68381,80626,6201,9015
10/12/2018 10:00,69.52,68289,69361,83991,11853,6400
10/12/2018 11:00,61.95,69037,69364,87904,16471,4570
10/12/2018 12:00,49.25,68171,68974,88521,19419,4339
10/12/2018 13:00,48.75,67406,67946,88011,20281,4972
10/12/2018 14:00,47.84,65823,65965,84424,19273,5222
10/12/2018 15:00,53.32,65551,64894,79644,16446,5138
10/12/2018 16:00,56.95,63725,63271,72757,11708,4924
10/12/2018 17:00,67.32,62920,62699,66562,5718,4667
10/12/2018 18:00,69.94,63132,63288,66081,797,5319
10/12/2018 19:00,79.08,65288,66858,68219,0,7073
10/12/2018 20:00,65,63894,64220,67815,0,9468
10/12/2018 21:00,53.58,59801,60680,64478,0,10764
10/12/2018 22:00,50,57563,57540,61623,0,11445
10/12/2018 23:00,43.88,53487,52854,57659,0,11812
10/13/2018 0:00,47.8,48629,48643,55535,0,13625
10/13/2018 1:00,43.97,46151,45945,53179,0,13032
10/13/2018 2:00,42.08,44436,44269,52314,0,12482
10/13/2018 3:00,39.14,44001,43666,51095,0,11942
10/13/2018 4:00,42.74,44212,43919,51029,0,11477
10/13/2018 5:00,43.91,44598,44327,51655,0,11205
10/13/2018 6:00,48.34,45258,46416,54170,0,11034
10/13/2018 7:00,58.18,47996,49474,56668,7,11031
10/13/2018 8:00,62.9,52201,52412,61853,1286,10653
10/13/2018 9:00,62.43,54851,55416,69012,6785,9825
10/13/2018 10:00,52.55,57108,57114,72696,12917,7543
10/13/2018 11:00,44.05,58061,57936,75448,17668,5212
10/13/2018 12:00,37.4,57744,57955,77671,20512,5019
10/13/2018 13:00,34.1,55923,55879,77654,21300,6116
10/13/2018 14:00,31.95,54608,53969,74920,20157,6950
10/13/2018 15:00,37.42,54417,52921,70423,17198,7452
10/13/2018 16:00,50.23,53470,51847,64363,12270,7546
10/13/2018 17:00,60.46,53710,52118,59167,5930,8152
