,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA,Woff_DA
1/1/2015 0:00,25.02,1870,1877,0,0,0,0
1/1/2015 1:00,18.29,1841,1843,0,0,0,0
1/1/2015 2:00,16.04,1785,1795,0,0,0,0
1/1/2015 3:00,14.6,1735,1745,0,0,0,0
1/1/2015 4:00,14.95,1734,1743,0,0,0,0
1/1/2015 5:00,14.5,1753,1751,0,0,0,0
1/1/2015 6:00,10.76,1771,1767,0,0,0,0
1/1/2015 7:00,12.01,1837,1903,0,0,0,0
1/1/2015 8:00,12.39,1924,1985,0,0,0,0
1/1/2015 9:00,14.04,2039,2015,0,0,0,0
1/1/2015 10:00,14.68,2153,2102,0,0,0,0
1/1/2015 11:00,16.08,2168,2194,0,0,0,0
1/1/2015 12:00,16.08,2198,2255,0,0,0,0
1/1/2015 13:00,16.05,2232,2263,0,0,0,0
1/1/2015 14:00,16.04,2246,2233,0,0,0,0
1/1/2015 15:00,16.1,2273,2304,0,0,0,0
1/1/2015 16:00,23.93,2482,2486,0,0,0,0
1/1/2015 17:00,26.9,2662,2633,0,0,0,0
1/1/2015 18:00,26.36,2613,2627,0,0,0,0
1/1/2015 19:00,23.98,2474,2510,0,0,0,0
1/1/2015 20:00,16.09,2350,2361,0,0,0,0
1/1/2015 21:00,14.08,2256,2263,0,0,0,0
1/1/2015 22:00,12.44,2090,2110,0,0,0,0
1/1/2015 23:00,0.04,1942,1976,0,0,0,0
1/2/2015 0:00,-12.11,1828,1852,0,0,0,0
1/2/2015 1:00,-19.63,1700,1711,0,0,0,0
1/2/2015 2:00,-19.37,1670,1683,0,0,0,0
1/2/2015 3:00,-31.41,1680,1682,0,0,0,0
1/2/2015 4:00,-31.41,1695,1701,0,0,0,0
1/2/2015 5:00,-13.48,1754,1774,0,0,0,0
1/2/2015 6:00,0.08,2065,2071,0,0,0,0
1/2/2015 7:00,10.06,2329,2294,0,0,0,0
1/2/2015 8:00,14.25,2482,2504,0,0,0,0
