,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/1/2015 0:00,50.1,26118,25385,23921,17,6436
1/1/2015 1:00,48.1,24934,24382,23242,16,5856
1/1/2015 2:00,47.33,23515,22734,21878,8,5454
1/1/2015 3:00,42.27,22642,21286,20228,2,5151
1/1/2015 4:00,38.41,21785,20264,19579,9,4861
1/1/2015 5:00,35.72,21441,19905,19243,4,4617
1/1/2015 6:00,35.13,21285,20010,19304,3,4276
1/1/2015 7:00,36.22,21545,20377,19352,12,3994
1/1/2015 8:00,32.4,21443,20094,20069,39,3602
1/1/2015 9:00,36.6,21560,20637,21167,784,3212
1/1/2015 10:00,43.1,22824,22250,22388,1996,2617
1/1/2015 11:00,45.14,23720,23547,23484,2990,2450
1/1/2015 12:00,45.14,24180,24133,23759,3842,2819
1/1/2015 13:00,47.35,24797,24713,23950,3812,2830
1/1/2015 14:00,47.35,25222,24672,23563,3699,2851
1/1/2015 15:00,43.61,24173,23528,22483,3369,2822
1/1/2015 16:00,44.91,23659,23118,22126,2615,2562
1/1/2015 17:00,48.1,23982,23606,21934,1387,2578
1/1/2015 18:00,58.02,26981,26447,24061,399,2824
1/1/2015 19:00,61.01,28515,28020,25984,100,2801
1/1/2015 20:00,62.69,30482,29014,26661,44,2999
1/1/2015 21:00,60.41,30739,29571,26234,26,3185
1/1/2015 22:00,58.15,29756,29031,24780,13,3446
1/1/2015 23:00,53.6,27589,26798,23341,14,3482
1/2/2015 0:00,47.34,23959,24298,22034,13,3494
1/2/2015 1:00,40.4,21692,21881,20687,10,3189
1/2/2015 2:00,36,20247,20495,19932,9,2892
1/2/2015 3:00,37,19529,19730,19678,11,2902
1/2/2015 4:00,35.99,19198,19500,19628,8,2749
1/2/2015 5:00,37.98,19821,20113,19890,8,3068
1/2/2015 6:00,43.61,21620,22153,20883,10,3166
1/2/2015 7:00,56.1,24379,0,22786,18,3141
1/2/2015 8:00,57.69,27389,0,25129,63,3165
1/2/2015 9:00,60.01,30619,0,28109,691,2907
1/2/2015 10:00,62.25,32419,32383,29355,1797,2510
1/2/2015 11:00,60.01,32029,32358,30015,3078,1945
1/2/2015 12:00,59.97,31357,0,29342,3568,1486
1/2/2015 13:00,59.69,31338,0,28558,3572,1267
1/2/2015 14:00,58.69,30874,0,27615,3474,1363
1/2/2015 15:00,58.13,30124,0,27091,2935,1426
1/2/2015 16:00,59,29714,0,26863,2383,1678
1/2/2015 17:00,59.69,29801,0,26978,1211,1807
1/2/2015 18:00,63.76,32257,0,28483,392,2050
1/2/2015 19:00,65.01,33183,0,29584,98,1933
1/2/2015 20:00,65.01,34839,33955,29682,52,1872
1/2/2015 21:00,61.75,34392,33851,28627,30,1755
1/2/2015 22:00,59.96,32614,32324,27203,19,1938
1/2/2015 23:00,58.69,30236,29866,25080,16,2014
1/3/2015 0:00,52.1,25995,27243,0,16,1965
1/3/2015 1:00,47.84,23763,24723,0,16,1891
1/3/2015 2:00,43.66,22030,22861,0,8,2097
1/3/2015 3:00,43.66,20996,21963,0,2,2336
1/3/2015 4:00,41.98,20478,21540,0,0,2475
1/3/2015 5:00,43.93,20505,21642,0,0,2729
1/3/2015 6:00,46.02,21061,22434,0,2,2903
1/3/2015 7:00,50.92,22175,23787,0,22,3203
1/3/2015 8:00,55.57,23448,25305,0,24,3262
1/3/2015 9:00,58.1,25783,27745,0,683,3278
1/3/2015 10:00,59.8,28305,30101,0,1777,3390
1/3/2015 11:00,59.51,29050,30495,0,2996,3212
1/3/2015 12:00,59,29009,29893,0,3831,2928
1/3/2015 13:00,58.13,29215,29659,0,3939,2906
1/3/2015 14:00,56.9,28964,29268,0,3691,3284
1/3/2015 15:00,52.69,27909,28375,0,3197,3604
1/3/2015 16:00,52.1,27148,27840,0,2438,3835
1/3/2015 17:00,56.1,27431,28102,0,1347,4333
1/3/2015 18:00,59,30039,30973,0,367,4817
1/3/2015 19:00,59.8,31051,32130,0,107,5033
1/3/2015 20:00,59.92,31606,32763,0,24,4925
1/3/2015 21:00,59.51,31598,32875,0,20,5028
1/3/2015 22:00,58.1,30406,31532,0,10,5059
1/3/2015 23:00,56.1,28372,29366,0,9,5026
1/4/2015 0:00,39.82,25923,26818,24050,9,5120
1/4/2015 1:00,34.82,23255,24299,23168,10,5135
1/4/2015 2:00,34,21315,22546,22129,10,4989
1/4/2015 3:00,36,20632,21480,21550,11,5139
1/4/2015 4:00,35,20120,20937,21495,10,5102
1/4/2015 5:00,35.5,20122,21035,21469,11,5154
1/4/2015 6:00,36,20351,21476,21519,11,5102
1/4/2015 7:00,36.49,21205,22289,21730,42,5118
1/4/2015 8:00,38.5,21885,22929,22068,39,4992
1/4/2015 9:00,41.86,24170,24754,23520,684,4820
1/4/2015 10:00,48.51,26622,27027,24830,1753,4418
1/4/2015 11:00,48.51,27611,27933,26091,3074,4066
1/4/2015 12:00,45.5,27266,27648,25984,3610,3779
1/4/2015 13:00,47.71,27460,27873,26167,3960,3762
1/4/2015 14:00,46.48,27328,27769,25791,3738,3658
1/4/2015 15:00,39.82,26126,26825,24920,3612,3503
1/4/2015 16:00,39.6,25693,26254,24157,2507,3432
1/4/2015 17:00,47.69,26061,26508,23961,1435,3391
1/4/2015 18:00,59.11,28827,29232,25898,440,3496
1/4/2015 19:00,61.26,30293,30623,27530,115,3674
1/4/2015 20:00,62.31,31250,31605,27669,44,3592
1/4/2015 21:00,62.69,31831,32040,27270,57,3172
1/4/2015 22:00,61.19,30589,31115,25824,50,2702
1/4/2015 23:00,59.8,28489,28916,23725,30,2268
1/5/2015 0:00,56.06,25632,26019,23253,21,1603
1/5/2015 1:00,48.07,23220,23591,21858,27,1199
1/5/2015 2:00,43.93,21772,22089,20578,17,1090
1/5/2015 3:00,45.67,21220,21350,20448,16,1096
1/5/2015 4:00,45.69,21099,21054,20675,8,1226
1/5/2015 5:00,47.49,21914,21533,21227,8,1097
1/5/2015 6:00,57.5,24715,23240,22385,9,1119
1/5/2015 7:00,63,28862,26141,25407,19,1335
1/5/2015 8:00,65.11,32003,28870,27404,30,1501
1/5/2015 9:00,66.96,33500,31473,30024,615,1624
1/5/2015 10:00,67.52,34000,32893,31486,1792,1532
1/5/2015 11:00,65.97,34500,32741,31923,2788,1380
1/5/2015 12:00,63.68,34500,31942,31572,3704,1243
1/5/2015 13:00,62.71,34000,31779,30557,3778,1263
1/5/2015 14:00,60.01,33735,30864,29425,3657,1371
1/5/2015 15:00,59.8,33292,29742,28756,3083,1439
1/5/2015 16:00,59.98,32231,29336,28448,2322,1396
1/5/2015 17:00,63.46,32816,29469,28582,1363,1418
1/5/2015 18:00,67.52,34936,30960,30242,361,1562
1/5/2015 19:00,69,35642,31097,31286,80,1765
1/5/2015 20:00,67.52,35348,31242,31065,30,1824
1/5/2015 21:00,65.11,35242,31443,29876,38,1824
1/5/2015 22:00,63.07,33296,30365,28133,36,1818
