,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/5/2015 0:00,36.56,62900,62610,69634,0,1419
1/5/2015 1:00,34.94,60250,61092,67965,0,1409
1/5/2015 2:00,32.19,59650,60219,67433,0,1281
1/5/2015 3:00,23.53,56500,57535,65739,0,1154
1/5/2015 4:00,22.92,55050,56891,65466,0,1028
1/5/2015 5:00,34.26,56750,59823,67463,0,907
1/5/2015 6:00,44.28,61800,66249,73889,0,788
1/5/2015 7:00,50.38,69500,73308,79207,0,633
1/5/2015 8:00,53.79,73700,76107,80472,0,642
1/5/2015 9:00,52.03,74400,76452,81362,121,644
1/5/2015 10:00,50.6,75200,76494,82293,685,650
1/5/2015 11:00,50.5,75700,76683,82532,1360,645
1/5/2015 12:00,48.45,75950,76812,82101,1761,642
1/5/2015 13:00,44.54,75900,75421,80927,1886,641
1/5/2015 14:00,42,74200,73763,79870,1685,620
1/5/2015 15:00,43.1,71550,71536,79554,1165,599
1/5/2015 16:00,46.7,70350,71665,79706,466,579
1/5/2015 17:00,56.78,73200,75440,83771,29,689
1/5/2015 18:00,58.84,78050,79847,86212,0,800
1/5/2015 19:00,53.6,79950,80090,86103,0,911
1/5/2015 20:00,46.9,76050,76262,82777,0,922
1/5/2015 21:00,44.58,71850,71858,79455,0,934
1/5/2015 22:00,48.7,69600,71997,79669,0,946
1/5/2015 23:00,46.06,72400,72673,79686,0,923
1/6/2015 0:00,45.56,70550,69935,76108,0,776
1/6/2015 1:00,40.28,67900,67795,75171,0,785
1/6/2015 2:00,39.2,67450,66811,73847,0,811
1/6/2015 3:00,36.22,64850,64040,71930,0,841
1/6/2015 4:00,34.04,63650,63275,71491,0,874
1/6/2015 5:00,38.58,65300,65977,74015,0,915
1/6/2015 6:00,43.32,70200,72092,78859,0,958
1/6/2015 7:00,50,77800,78888,83219,0,1090
1/6/2015 8:00,49.53,81500,81429,84764,0,1223
1/6/2015 9:00,50.87,80550,81438,85910,116,1365
1/6/2015 10:00,50.86,80200,81086,85737,599,1494
1/6/2015 11:00,50.17,79600,81166,85335,1144,1636
1/6/2015 12:00,47.97,78900,80973,84981,1475,1775
1/6/2015 13:00,45.2,78450,79304,83498,1556,1910
1/6/2015 14:00,41.45,76500,77662,82293,1373,1917
1/6/2015 15:00,40.08,73800,75285,81437,953,1924
1/6/2015 16:00,43.62,73050,75028,81190,383,1929
1/6/2015 17:00,48.55,75350,78196,84616,24,1944
1/6/2015 18:00,52.32,79900,81983,87436,0,1960
1/6/2015 19:00,53.1,81000,81712,87219,0,1976
1/6/2015 20:00,48.78,77300,77245,83742,0,1873
1/6/2015 21:00,43.91,72800,72532,80988,0,1770
1/6/2015 22:00,44.58,70600,72243,81024,0,1666
1/6/2015 23:00,45.73,72450,72686,80839,0,1525
1/7/2015 0:00,40,71550,69988,76165,0,1384
1/7/2015 1:00,36.69,68450,67621,74438,0,1244
1/7/2015 2:00,37.45,67750,66393,72620,0,1110
1/7/2015 3:00,32.08,64750,63640,70673,0,977
1/7/2015 4:00,29.48,63600,62955,70130,0,846
1/7/2015 5:00,34.94,65450,65636,72988,0,755
1/7/2015 6:00,41.74,70450,71516,78173,0,666
1/7/2015 7:00,49.17,77350,78168,83599,0,580
1/7/2015 8:00,54.44,81100,80971,86624,0,634
1/7/2015 9:00,50.99,81450,80546,86826,112,690
1/7/2015 10:00,50,81400,79801,87245,619,751
1/7/2015 11:00,51.22,81000,79494,87295,1150,956
1/7/2015 12:00,50.15,80550,79036,87017,1455,1162
1/7/2015 13:00,51.46,79600,77255,86114,1571,1369
1/7/2015 14:00,50.88,77300,75421,84908,1439,1226
1/7/2015 15:00,48,74000,73262,83957,1033,1083
1/7/2015 16:00,47.14,72750,72881,83148,430,942
1/7/2015 17:00,51.07,74550,75844,85107,28,1268
1/7/2015 18:00,52.46,79000,79935,87434,0,1597
1/7/2015 19:00,48.78,80850,79786,86758,0,1927
1/7/2015 20:00,47.45,76550,75418,83587,0,2074
1/7/2015 21:00,42.02,71850,71486,81207,0,2223
1/7/2015 22:00,45.57,69600,70933,81060,0,2370
1/7/2015 23:00,45.6,72100,71301,81179,0,2540
1/8/2015 0:00,43.88,69500,68372,78463,0,2710
1/8/2015 1:00,35.65,66500,65948,76255,0,2880
1/8/2015 2:00,35.87,65800,64676,75568,0,3000
1/8/2015 3:00,30.17,62650,61551,73355,0,3121
1/8/2015 4:00,24.54,61100,60541,73058,0,3241
1/8/2015 5:00,32,62800,62833,73722,0,3389
1/8/2015 6:00,40.96,67300,68782,80096,0,3537
1/8/2015 7:00,49.53,74750,75066,86057,0,4094
1/8/2015 8:00,48.07,78400,76918,87444,0,4481
1/8/2015 9:00,48.75,77450,76633,87779,122,4739
1/8/2015 10:00,49.29,76850,76121,88310,645,5011
1/8/2015 11:00,49.33,76350,75885,88717,1177,5340
1/8/2015 12:00,48.43,76150,75521,88528,1485,5669
1/8/2015 13:00,47.21,75550,74111,87605,1546,5999
1/8/2015 14:00,43.47,74150,72261,85790,1350,5655
1/8/2015 15:00,38.27,71150,69961,84280,919,5310
1/8/2015 16:00,41.07,70300,69326,84058,377,4964
1/8/2015 17:00,47.97,72100,72487,86535,25,4460
1/8/2015 18:00,51.25,76050,76456,88028,0,3948
1/8/2015 19:00,50.31,77050,76130,86530,0,3435
1/8/2015 20:00,47.97,73100,72022,83251,0,3375
1/8/2015 21:00,40.5,68500,68102,80558,0,3317
1/8/2015 22:00,43.8,66100,67739,79696,0,3262
1/8/2015 23:00,44.05,67900,68350,79408,0,3322
1/9/2015 0:00,32.06,65850,65154,76714,0,3579
1/9/2015 1:00,29.71,62550,62599,74746,0,3918
1/9/2015 2:00,28.53,61750,61202,73761,0,4290
1/9/2015 3:00,23.75,58550,58297,70492,0,4662
1/9/2015 4:00,16.05,57150,57456,70449,0,5032
1/9/2015 5:00,21.44,58750,59721,72630,0,5228
1/9/2015 6:00,31.86,63650,65282,78033,0,5424
1/9/2015 7:00,44,71000,71761,83480,0,6256
1/9/2015 8:00,45.82,74800,73703,85462,0,6313
1/9/2015 9:00,45.59,74150,73166,85576,101,6273
1/9/2015 10:00,42.52,73450,72714,84904,535,6240
1/9/2015 11:00,41.57,72450,72744,84736,980,6325
1/9/2015 12:00,41.01,71750,72416,84031,1298,6414
