,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA,Woff_DA
1/5/2015 0:00,36.56,9566,11608,9363,0,211,23
1/5/2015 1:00,34.94,8848,11138,8811,0,231,26
1/5/2015 2:00,32.19,8470,10585,8514,0,281,31
1/5/2015 3:00,28.05,8337,10343,8211,0,334,37
1/5/2015 4:00,28.04,8331,10478,8292,0,385,43
1/5/2015 5:00,34.26,8634,10723,9186,0,375,42
1/5/2015 6:00,37.8,9602,12029,10795,0,365,41
1/5/2015 7:00,50.38,11372,14391,13775,0,354,39
1/5/2015 8:00,50.97,13420,17110,15684,0,358,40
1/5/2015 9:00,41.51,14395,17972,16516,10,367,41
1/5/2015 10:00,40.46,14765,18467,16887,84,378,42
1/5/2015 11:00,42,14892,18624,16991,150,319,35
1/5/2015 12:00,40.72,14879,17962,16834,177,255,28
1/5/2015 13:00,41.92,14750,18181,16874,178,189,21
1/5/2015 14:00,42,14677,19002,16763,156,175,19
1/5/2015 15:00,43.1,14538,18824,16695,107,158,18
1/5/2015 16:00,46.7,14730,18909,16860,38,145,16
1/5/2015 17:00,56.78,15911,19323,17666,0,185,21
1/5/2015 18:00,58.84,15627,18899,17331,0,224,25
1/5/2015 19:00,49.23,14979,17796,17065,0,262,29
1/5/2015 20:00,44.32,14294,17223,15592,0,268,30
1/5/2015 21:00,40,13336,16216,14120,0,274,30
1/5/2015 22:00,41.78,12331,15275,12998,0,280,31
1/5/2015 23:00,38.6,11242,13921,11901,0,289,32
1/6/2015 0:00,36.9,10097,13141,9840,0,214,24
1/6/2015 1:00,35.04,9244,12277,9179,0,199,22
1/6/2015 2:00,34.5,8784,11805,8777,0,210,23
1/6/2015 3:00,33.47,8582,11708,8531,0,221,25
1/6/2015 4:00,33.97,8538,11611,8508,0,233,26
1/6/2015 5:00,36.02,8787,11864,9236,0,261,29
1/6/2015 6:00,39.96,9702,12666,11227,0,289,32
1/6/2015 7:00,42.66,11425,14755,13628,0,320,36
1/6/2015 8:00,44.94,13421,17596,15481,0,322,36
1/6/2015 9:00,50.87,14263,18540,16019,11,327,36
1/6/2015 10:00,50.86,14631,18684,16523,94,334,37
1/6/2015 11:00,50.17,14692,18378,16682,169,314,35
1/6/2015 12:00,47.97,14598,18426,16335,203,281,31
1/6/2015 13:00,45.2,14440,18270,16426,190,242,27
1/6/2015 14:00,41.45,14455,18499,16422,147,268,30
1/6/2015 15:00,40.08,14349,18473,16417,86,301,33
1/6/2015 16:00,43.62,14518,18600,16471,32,335,37
1/6/2015 17:00,48.55,15677,19073,17028,0,382,42
1/6/2015 18:00,45.71,15525,18958,16874,0,429,48
1/6/2015 19:00,39.94,14906,17632,16470,0,472,52
1/6/2015 20:00,44.94,14267,17020,15074,0,470,52
1/6/2015 21:00,42.51,13329,15542,13463,0,441,49
1/6/2015 22:00,44,12319,14486,12448,0,414,46
1/6/2015 23:00,39.94,11260,13303,11097,0,389,43
1/7/2015 0:00,36.11,10095,9905,10408,0,509,57
1/7/2015 1:00,34.31,9204,9109,9537,0,458,51
1/7/2015 2:00,32.55,8698,8695,9118,0,419,47
1/7/2015 3:00,32.08,8475,8538,8618,0,386,43
1/7/2015 4:00,29.48,8431,8563,8297,0,353,39
1/7/2015 5:00,34.94,8667,8830,8933,0,301,33
1/7/2015 6:00,35.78,9543,9916,10692,0,248,28
1/7/2015 7:00,45.98,11165,12080,12881,0,199,22
1/7/2015 8:00,47.91,13109,14529,15498,0,220,24
1/7/2015 9:00,48.91,14100,14985,16553,8,241,27
1/7/2015 10:00,50,14583,14989,17095,73,262,29
1/7/2015 11:00,51.22,14683,14903,17091,125,251,28
1/7/2015 12:00,50.15,14560,14600,16859,145,240,27
1/7/2015 13:00,51.46,14296,14471,16681,141,226,25
1/7/2015 14:00,50.88,14138,14613,16726,118,260,29
1/7/2015 15:00,48,13908,14612,16565,85,298,33
1/7/2015 16:00,47.14,13829,14786,16467,35,340,38
1/7/2015 17:00,51.07,14777,15969,16842,0,463,51
1/7/2015 18:00,47.42,14456,15688,16427,0,584,65
1/7/2015 19:00,44.83,13723,15022,15991,0,702,78
1/7/2015 20:00,39.1,12954,14244,14694,0,769,85
1/7/2015 21:00,42,12069,13236,13507,0,837,93
1/7/2015 22:00,37.92,11318,12102,12921,0,904,100
1/7/2015 23:00,33.51,10676,11065,11732,0,966,107
1/8/2015 0:00,33.11,9844,10324,11121,0,957,106
1/8/2015 1:00,32.32,9174,9525,10551,0,997,111
1/8/2015 2:00,31.1,8642,9075,9972,0,1030,114
1/8/2015 3:00,30.17,8311,8933,9480,0,1064,118
1/8/2015 4:00,24.54,8122,8868,9420,0,1098,122
1/8/2015 5:00,32,8206,9151,9586,0,1117,124
1/8/2015 6:00,38.81,8706,10201,10803,0,1136,126
1/8/2015 7:00,42.44,9710,12422,12526,0,1151,128
1/8/2015 8:00,45.55,10864,14719,14217,0,1156,128
1/8/2015 9:00,48.75,11400,15441,14238,1,1165,129
1/8/2015 10:00,49.29,11880,15609,14888,3,1167,130
1/8/2015 11:00,49.33,12151,15780,15142,5,1170,130
1/8/2015 12:00,48.43,12251,15910,15285,9,1179,131
1/8/2015 13:00,47.21,12228,15888,14998,10,1182,131
1/8/2015 14:00,51.4,12236,15831,15088,7,1112,124
1/8/2015 15:00,40.5,12130,15785,14977,7,1027,114
1/8/2015 16:00,41.1,12322,15919,15411,6,931,103
1/8/2015 17:00,54.5,13441,16532,16195,0,824,92
1/8/2015 18:00,51.25,13624,16223,16277,0,721,80
1/8/2015 19:00,50.31,13205,15581,16064,0,620,69
1/8/2015 20:00,47.97,12778,14849,14891,0,646,72
1/8/2015 21:00,40.5,12118,13713,13754,0,685,76
1/8/2015 22:00,43.8,11353,12568,13118,0,712,79
1/8/2015 23:00,44.05,10499,11473,12333,0,748,83
1/9/2015 0:00,32.28,9543,10213,11839,0,824,92
1/9/2015 1:00,29.71,8786,9420,10384,0,874,97
1/9/2015 2:00,28.97,8319,8958,10107,0,972,108
1/9/2015 3:00,25.12,8120,8758,9924,0,1067,119
1/9/2015 4:00,25.46,8066,8726,9970,0,1155,128
1/9/2015 5:00,25.84,8269,8967,10104,0,1237,137
1/9/2015 6:00,31.86,8969,10080,11460,0,1330,148
1/9/2015 7:00,44,10208,12211,13585,0,1409,157
1/9/2015 8:00,45.82,11642,14537,15832,0,1414,157
1/9/2015 9:00,47.16,12573,15318,16214,1,1414,157
1/9/2015 10:00,42.52,13192,15547,17035,4,1409,157
1/9/2015 11:00,43,13359,15549,17310,7,1384,154
1/9/2015 12:00,41.01,13266,15465,17165,10,1349,150
1/9/2015 13:00,40,12991,15218,17285,13,1325,147
1/9/2015 14:00,39.94,12841,15117,17311,14,1302,145
1/9/2015 15:00,39.96,12655,14938,17211,11,1272,141
1/9/2015 16:00,39.96,12738,15038,17411,5,1243,138
1/9/2015 17:00,52.44,14139,15802,18498,0,1303,145
1/9/2015 18:00,41,14303,15552,18345,0,1370,152
1/9/2015 19:00,38.95,13699,14751,17702,0,1427,159
1/9/2015 20:00,36.51,13064,13959,16580,0,1439,160
1/9/2015 21:00,34.6,12309,12910,15230,0,1451,161
1/9/2015 22:00,31.09,11496,11883,14374,0,1464,163
1/9/2015 23:00,29.46,10710,11064,13406,0,1461,162
1/10/2015 0:00,25.88,7331,10170,13187,0,1464,163
1/10/2015 1:00,25.78,6722,9322,12345,0,1462,162
1/10/2015 2:00,25.5,6326,8698,11945,0,1456,162
1/10/2015 3:00,25.34,6147,8421,11998,0,1449,161
1/10/2015 4:00,25.24,6082,8217,11688,0,1441,160
1/10/2015 5:00,21.6,6168,8265,12006,0,1442,160
1/10/2015 6:00,20.83,6467,8600,12318,0,1442,160
1/10/2015 7:00,29.39,7058,9418,13356,0,1444,160
1/10/2015 8:00,32.32,7906,10645,14302,0,1448,161
1/10/2015 9:00,39.64,8777,11810,16018,1,1453,161
1/10/2015 10:00,47.01,9496,12698,17065,6,1458,162
1/10/2015 11:00,51.05,9782,12951,17661,10,1458,162
1/10/2015 12:00,52.58,9890,13035,17614,12,1459,162
1/10/2015 13:00,48.61,9775,13054,17584,10,1460,162
1/10/2015 14:00,35.76,9650,12794,17304,7,1436,160
1/10/2015 15:00,36.17,9549,12601,17273,4,1411,157
1/10/2015 16:00,39.94,9673,12460,17553,2,1382,154
1/10/2015 17:00,47.04,10522,13357,18578,0,1205,134
1/10/2015 18:00,59.94,10554,13821,18621,0,1025,114
1/10/2015 19:00,42,10152,13257,18361,0,841,93
1/10/2015 20:00,35.42,9695,12607,17215,0,750,83
1/10/2015 21:00,35,9040,11728,16275,0,657,73
1/10/2015 22:00,34.96,8530,11027,15749,0,581,65
1/10/2015 23:00,32.91,7920,10355,15143,0,601,67
1/11/2015 0:00,26.95,7349,9616,13222,0,801,89
1/11/2015 1:00,24.22,6767,8902,12247,0,822,91
1/11/2015 2:00,27.08,6363,8372,11817,0,867,96
1/11/2015 3:00,23.44,6155,8091,11272,0,913,101
1/11/2015 4:00,23.56,6072,7951,10965,0,960,107
1/11/2015 5:00,23.91,6105,7945,10632,0,1035,115
1/11/2015 6:00,23.9,6261,8144,10730,0,1119,124
1/11/2015 7:00,24.32,6569,8542,11064,0,1195,133
1/11/2015 8:00,25.08,7183,9378,11517,0,1223,136
1/11/2015 9:00,25.96,7710,10117,12740,11,1242,138
1/11/2015 10:00,28.83,8289,10887,13701,90,1260,140
1/11/2015 11:00,32.43,8624,11321,14101,161,1271,141
1/11/2015 12:00,31.8,8886,11592,14625,201,1280,142
1/11/2015 13:00,31,8865,11674,14420,208,1287,143
1/11/2015 14:00,31,8731,11562,14168,188,1228,136
1/11/2015 15:00,31,8683,11506,14408,131,1162,129
1/11/2015 16:00,30,8815,11522,15520,55,1096,122
1/11/2015 17:00,45,9927,12877,17280,0,1094,122
1/11/2015 18:00,50,10234,13467,17503,0,1100,122
1/11/2015 19:00,42,9925,13086,17146,0,1121,125
1/11/2015 20:00,36.08,9611,12632,16518,0,1161,129
1/11/2015 21:00,34.06,9029,11709,15646,0,1202,134
1/11/2015 22:00,33,8560,11062,14979,0,1240,138
1/11/2015 23:00,32.19,7849,10123,13384,0,1252,139
1/12/2015 0:00,27.59,7188,9202,11042,0,1157,129
1/12/2015 1:00,26.81,6632,8589,10429,0,1170,130
1/12/2015 2:00,25.75,6333,8275,10074,0,1178,131
1/12/2015 3:00,25.77,6218,8062,9970,0,1187,132
1/12/2015 4:00,19.91,6201,8179,10102,0,1194,133
1/12/2015 5:00,19.84,6413,8510,10698,0,1245,138
1/12/2015 6:00,33.98,7097,9737,12163,0,1298,144
1/12/2015 7:00,45.51,8280,12060,15079,0,1353,150
1/12/2015 8:00,45.54,9717,14297,17609,0,1368,152
1/12/2015 9:00,46.2,10478,15070,18859,3,1385,154
1/12/2015 10:00,45,10806,15275,19606,13,1400,156
1/12/2015 11:00,45.38,10941,15450,19937,21,1403,156
1/12/2015 12:00,42.49,10989,15440,19848,23,1404,156
1/12/2015 13:00,41.53,10908,15318,19755,21,1406,156
1/12/2015 14:00,39,10852,15228,19384,17,1408,156
1/12/2015 15:00,39,10743,15026,19310,12,1407,156
1/12/2015 16:00,39.94,10858,15123,19479,6,1407,156
1/12/2015 17:00,48,11722,15994,20299,0,1398,155
1/12/2015 18:00,47.89,11551,15728,20102,0,1388,154
1/12/2015 19:00,47.44,11061,15065,19703,0,1377,153
1/12/2015 20:00,41.89,10554,14330,17832,0,1377,153
1/12/2015 21:00,37.88,9872,13231,16215,0,1378,153
1/12/2015 22:00,37.44,9139,12170,14974,0,1378,153
1/12/2015 23:00,35,8368,11067,13772,0,1389,154
1/13/2015 0:00,33.04,7500,10023,11651,0,1417,157
1/13/2015 1:00,26.56,6846,9248,10847,0,1424,158
1/13/2015 2:00,26.29,6489,8753,10367,0,1428,159
1/13/2015 3:00,25.04,6326,8638,10165,0,1432,159
1/13/2015 4:00,24.99,6288,8690,10298,0,1438,160
1/13/2015 5:00,25.39,6460,8946,11044,0,1438,160
1/13/2015 6:00,33.78,7104,10053,12171,0,1435,159
1/13/2015 7:00,44.94,8264,12286,14597,0,1431,159
1/13/2015 8:00,49.04,9670,14567,17300,0,1412,157
1/13/2015 9:00,49.64,10393,15219,18310,9,1400,156
1/13/2015 10:00,55.95,10739,15356,18424,44,1387,154
1/13/2015 11:00,60.01,10782,15511,18312,67,1352,150
1/13/2015 12:00,46.04,10700,15535,18414,56,1317,146
1/13/2015 13:00,49.74,10584,15439,18410,33,1278,142
1/13/2015 14:00,44.89,10579,15453,18505,18,1202,134
1/13/2015 15:00,47.93,10494,15196,18596,12,1118,124
1/13/2015 16:00,46.98,10578,15197,18808,7,1034,115
1/13/2015 17:00,54.94,11459,15886,19613,0,937,104
1/13/2015 18:00,49.22,11383,15825,19460,0,849,94
1/13/2015 19:00,44.6,10932,15167,18848,0,764,85
1/13/2015 20:00,42.44,10441,14457,16908,0,902,100
1/13/2015 21:00,34.06,9764,13415,15585,0,1035,115
1/13/2015 22:00,33.97,9018,12365,14512,0,1164,129
1/13/2015 23:00,31.39,8272,11245,13427,0,1161,129
1/14/2015 0:00,34.58,7474,10219,12474,0,1057,117
1/14/2015 1:00,29.67,6809,9429,11477,0,1094,122
1/14/2015 2:00,27.49,6420,9024,11140,0,1083,120
1/14/2015 3:00,26.13,6246,8876,10893,0,1081,120
1/14/2015 4:00,25.98,6210,8857,10563,0,1074,119
1/14/2015 5:00,28.45,6376,9121,11268,0,1054,117
1/14/2015 6:00,34.78,6980,10245,12473,0,1024,114
1/14/2015 7:00,48,8026,12503,14224,0,996,111
1/14/2015 8:00,47.79,9333,14932,16472,0,1051,117
1/14/2015 9:00,48.14,10093,15543,18137,8,1107,123
1/14/2015 10:00,45.5,10496,15747,18947,37,1167,130
1/14/2015 11:00,45.03,10571,15767,18828,60,1185,132
1/14/2015 12:00,45.5,10469,15731,18680,82,1193,133
1/14/2015 13:00,40.81,10248,15652,18578,112,1189,132
1/14/2015 14:00,42.04,10101,15431,18612,141,1051,117
1/14/2015 15:00,38.94,9912,15139,18412,124,917,102
1/14/2015 16:00,41.15,9795,15071,18552,63,777,86
1/14/2015 17:00,50,10578,15713,19155,1,747,83
1/14/2015 18:00,50.99,10430,16028,18667,0,753,84
1/14/2015 19:00,44,9891,15345,17779,0,763,85
1/14/2015 20:00,44.99,9284,14633,15800,0,863,96
1/14/2015 21:00,38.62,8648,13551,14619,0,963,107
1/14/2015 22:00,39.54,8153,12406,14111,0,1070,119
1/14/2015 23:00,38.92,7803,11357,13544,0,1174,130
1/15/2015 0:00,30.44,7253,10247,13238,0,1234,137
1/15/2015 1:00,24.91,6797,9446,12502,0,1354,150
1/15/2015 2:00,25.49,6382,8983,11862,0,1392,155
1/15/2015 3:00,25.43,6106,8793,11338,0,1426,158
1/15/2015 4:00,25.47,5929,8770,11122,0,1458,162
1/15/2015 5:00,19.07,5934,9044,11316,0,1458,162
1/15/2015 6:00,32.33,6170,10185,11909,0,1462,162
