,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/4/2015 0:00,20.42,14800,15072,14413,0,2946
1/4/2015 1:00,17.18,14000,14350,14094,0,2942
1/4/2015 2:00,17.18,14000,14350,14094,0,2942
1/4/2015 3:00,17.18,14000,14350,14094,0,2942
1/4/2015 4:00,17.18,14000,14350,14094,0,2942
1/4/2015 5:00,17.18,14000,14350,14094,0,2942
1/4/2015 6:00,17.18,14000,14350,14094,0,2942
1/4/2015 7:00,17.18,14000,14350,14094,0,2942
1/4/2015 8:00,17.18,14000,14350,14094,0,2942
1/4/2015 9:00,17.18,14000,14350,14094,0,2942
1/4/2015 10:00,17.18,14000,14350,14094,0,2942
1/4/2015 11:00,28.32,16850,17175,16544,0,3192
1/4/2015 12:00,28.24,17150,17300,16770,0,3207
1/4/2015 13:00,28.27,17300,17593,16754,0,3207
1/4/2015 14:00,28.32,17050,17347,16901,0,3198
1/4/2015 15:00,28.7,17800,17553,16955,0,3176
1/4/2015 16:00,31.48,19000,19026,17631,0,3151
1/4/2015 17:00,33.96,19150,19287,17911,0,3128
1/4/2015 18:00,35.68,19200,19295,17927,0,3100
1/4/2015 19:00,35.53,19300,19320,17931,0,3061
1/4/2015 20:00,32.55,18700,18647,17474,0,3014
1/4/2015 21:00,29.06,17900,17920,16818,0,2956
1/4/2015 22:00,29.03,16900,16953,15956,0,2891
1/4/2015 23:00,22.9,15600,15827,14978,0,2826
1/5/2015 0:00,18.48,14800,14796,14222,0,2642
1/5/2015 1:00,17.43,14300,14212,13758,0,2530
1/5/2015 2:00,17.38,14100,14037,13269,0,2409
1/5/2015 3:00,17.4,14050,13981,13466,0,2293
1/5/2015 4:00,18.6,14325,14321,13677,0,2197
1/5/2015 5:00,19.3,15100,15036,14179,0,2103
1/5/2015 6:00,19.3,15100,15036,14179,0,2103
1/5/2015 7:00,19.3,15100,15036,14179,0,2103
1/5/2015 8:00,38.15,19375,19412,18568,0,1688
1/5/2015 9:00,38.15,19375,19412,18568,0,1688
1/5/2015 10:00,38.15,19375,19412,18568,0,1688
1/5/2015 11:00,38.15,19375,19412,18568,0,1688
1/5/2015 12:00,40.72,20825,20877,20297,0,1597
1/5/2015 13:00,41.92,21000,21171,20368,0,1585
1/5/2015 14:00,42,20825,20995,20237,0,1529
1/5/2015 15:00,42,20825,20995,20237,0,1529
1/5/2015 16:00,46.7,22375,22323,21507,0,1435
1/5/2015 17:00,56.78,22550,22399,21680,0,1418
1/5/2015 18:00,58.84,22300,22215,21462,0,1394
1/5/2015 19:00,49.23,22075,21920,21206,0,1318
1/5/2015 20:00,44.32,21475,21086,20573,0,1197
1/5/2015 21:00,35.86,20150,19861,19149,0,1073
1/5/2015 22:00,32.56,18700,18575,17125,0,965
1/5/2015 23:00,30.03,17300,17263,15826,0,882
1/6/2015 0:00,30.03,17300,17263,15826,0,882
1/6/2015 1:00,29.81,15000,15396,14228,0,629
1/6/2015 2:00,29.41,14400,15059,13701,0,535
1/6/2015 3:00,29.11,14200,14925,13572,0,440
1/6/2015 4:00,29.5,14200,14873,13509,0,344
1/6/2015 5:00,29.64,14100,14825,13543,0,261
1/6/2015 6:00,29.64,14100,14825,13543,0,261
1/6/2015 7:00,29.64,14100,14825,13543,0,261
