,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/1/2015 0:00,50.1,5228,5606,0,0,0
1/1/2015 1:00,48.1,5010,5341,0,0,0
1/1/2015 2:00,47.33,4820,5124,0,0,0
1/1/2015 3:00,42.27,4521,4771,0,0,0
1/1/2015 4:00,38.41,4250,4444,0,0,0
1/1/2015 5:00,35.72,4083,4235,0,0,0
1/1/2015 6:00,35.13,3981,4118,0,0,0
1/1/2015 7:00,36.22,3940,4074,0,0,0
1/1/2015 8:00,32.4,3797,3921,0,0,0
1/1/2015 9:00,36.6,3769,3884,0,0,0
1/1/2015 10:00,43.1,4045,4235,0,0,0
1/1/2015 11:00,45.14,4505,4633,0,0,0
1/1/2015 12:00,45.14,4983,4989,0,0,0
1/1/2015 13:00,47.35,5204,5165,0,0,0
1/1/2015 14:00,47.35,5057,4935,0,0,0
1/1/2015 15:00,43.61,4901,4685,0,0,0
1/1/2015 16:00,44.91,4881,4635,0,0,0
1/1/2015 17:00,48.1,4987,4686,0,0,0
1/1/2015 18:00,58.02,5453,5295,0,0,0
1/1/2015 19:00,61.01,5819,6025,0,0,0
1/1/2015 20:00,62.69,5929,6236,0,0,0
1/1/2015 21:00,60.41,5937,6308,0,0,0
1/1/2015 22:00,58.15,5826,6198,0,0,0
1/1/2015 23:00,53.6,5706,5998,0,0,0
1/2/2015 0:00,47.34,5838,5522,3410,0,0
1/2/2015 1:00,40.4,5462,5014,3724,0,152
1/2/2015 2:00,36,4998,4618,3703,0,182
1/2/2015 3:00,37,4729,4339,3181,0,233
1/2/2015 4:00,35.99,4602,4192,3392,0,304
1/2/2015 5:00,37.98,4555,4133,3483,0,333
1/2/2015 6:00,43.61,4656,4183,4182,0,344
1/2/2015 7:00,56.1,4824,4388,4624,0,423
1/2/2015 8:00,57.69,4915,4628,5046,0,474
1/2/2015 9:00,60.01,5326,5038,5937,10,473
1/2/2015 10:00,62.25,5863,5716,6591,30,475
1/2/2015 11:00,60.01,6128,6053,6479,36,375
1/2/2015 12:00,59.97,6307,6210,6271,27,207
1/2/2015 13:00,59.69,6310,6303,6368,0,142
1/2/2015 14:00,58.69,6187,6171,5934,0,111
1/2/2015 15:00,58.13,6099,6086,5958,0,93
1/2/2015 16:00,59,6021,5974,6260,0,92
1/2/2015 17:00,59.69,6078,5992,6081,0,113
1/2/2015 18:00,63.76,6624,6575,7404,0,152
1/2/2015 19:00,65.01,6812,7222,7486,0,200
1/2/2015 20:00,65.01,6484,7405,7523,0,231
1/2/2015 21:00,61.75,5931,7319,7014,0,251
1/2/2015 22:00,59.96,5560,7065,6598,0,253
1/2/2015 23:00,58.69,5502,6691,6035,0,240
1/3/2015 0:00,52.1,5947,6096,4404,0,273
1/3/2015 1:00,47.84,5406,5449,3694,0,261
1/3/2015 2:00,43.66,4937,4962,3347,0,250
1/3/2015 3:00,43.66,4592,4601,3201,0,238
1/3/2015 4:00,41.98,4391,4424,3172,0,224
1/3/2015 5:00,43.93,4282,4333,3147,0,204
1/3/2015 6:00,46.02,4260,4341,3255,0,191
1/3/2015 7:00,50.92,4326,4429,3629,0,183
1/3/2015 8:00,55.57,4426,4478,4106,0,176
1/3/2015 9:00,58.1,4602,4704,5052,29,169
1/3/2015 10:00,59.8,5061,5245,5599,116,149
1/3/2015 11:00,59.51,5550,5566,5704,183,107
1/3/2015 12:00,59,5924,5697,5745,224,73
1/3/2015 13:00,58.13,6091,5784,5747,239,58
1/3/2015 14:00,56.9,5988,5693,5171,230,49
1/3/2015 15:00,52.69,5878,5591,4362,195,41
1/3/2015 16:00,52.1,5843,5506,4261,134,39
1/3/2015 17:00,56.1,5914,5467,4839,49,46
1/3/2015 18:00,59,6413,6127,5741,0,59
1/3/2015 19:00,59.8,6923,6962,5966,0,81
1/3/2015 20:00,59.92,7013,7192,5989,0,100
1/3/2015 21:00,59.51,6917,7172,5908,0,116
1/3/2015 22:00,58.1,6612,6864,5595,0,128
1/3/2015 23:00,56.1,6336,6543,4875,0,136
1/4/2015 0:00,41.3,5884,6007,3872,0,127
1/4/2015 1:00,40.19,5341,5390,3592,0,137
1/4/2015 2:00,38.4,4913,4888,3243,0,147
1/4/2015 3:00,36,4588,4560,3110,0,158
1/4/2015 4:00,35,4402,4380,3159,0,173
1/4/2015 5:00,35.5,4304,4282,3172,0,193
1/4/2015 6:00,36,4247,4273,3279,0,217
1/4/2015 7:00,36.49,4277,4318,3415,0,245
1/4/2015 8:00,38.5,4231,4283,3610,0,276
1/4/2015 9:00,41.86,4339,4384,3790,6,306
1/4/2015 10:00,48.51,4782,4855,4047,92,316
1/4/2015 11:00,48.51,5225,5269,4096,182,285
1/4/2015 12:00,45.5,5557,5567,3957,238,232
1/4/2015 13:00,47.71,5735,5749,4033,259,187
1/4/2015 14:00,46.48,5654,5588,3975,245,153
1/4/2015 15:00,39.82,5487,5384,3866,196,140
1/4/2015 16:00,39.6,5365,5258,3972,113,159
1/4/2015 17:00,47.69,5321,5256,4162,15,237
1/4/2015 18:00,59.11,5886,5882,5663,0,361
1/4/2015 19:00,61.26,6505,6811,6160,0,479
1/4/2015 20:00,62.31,6729,7145,6469,0,564
1/4/2015 21:00,62.69,6801,7171,6534,0,617
1/4/2015 22:00,61.19,6671,6956,6358,0,660
1/4/2015 23:00,59.8,6468,6562,6237,0,689
1/5/2015 0:00,56.06,5701,5865,4541,0,593
1/5/2015 1:00,48.07,5208,5303,3882,0,528
1/5/2015 2:00,43.93,4769,4831,3383,0,458
1/5/2015 3:00,45.67,4521,4554,3411,0,403
1/5/2015 4:00,45.69,4415,4437,3361,0,356
1/5/2015 5:00,47.49,4388,4398,3319,0,318
1/5/2015 6:00,57.5,4495,4510,3837,0,281
