,Price_DA,Load_DA,Load_AC,Gen_SC,Sol_DA,Won_DA
1/1/2015 0:00,27.38,2754,2343,1400,0,668
1/1/2015 1:00,23.37,2718,2267,1425,0,695
1/1/2015 2:00,19.33,2660,2281,1453,0,725
1/1/2015 3:00,17.66,2606,2313,1481,0,754
1/1/2015 4:00,17.53,2600,2372,1507,0,777
1/1/2015 5:00,18.07,2642,2424,1528,0,798
1/1/2015 6:00,25.23,2705,2395,1531,0,800
1/1/2015 7:00,26.8,2766,2489,1534,0,801
1/1/2015 8:00,26.97,2785,2593,1547,0,813
1/1/2015 9:00,26.29,2816,2541,1565,0,831
1/1/2015 10:00,26.06,2884,2561,1588,0,852
1/1/2015 11:00,25.56,2961,2704,1615,0,878
1/1/2015 12:00,25.91,3004,2717,1635,0,898
1/1/2015 13:00,25.42,3010,2698,1633,0,896
1/1/2015 14:00,26.78,3025,2776,1630,0,893
1/1/2015 15:00,27.51,3098,2882,1632,0,894
1/1/2015 16:00,28.32,3306,3085,1660,0,921
1/1/2015 17:00,28.36,3351,3190,1688,0,949
1/1/2015 18:00,28.18,3307,3154,1704,0,964
1/1/2015 19:00,27.81,3214,3022,1732,0,993
1/1/2015 20:00,27.46,3085,2921,1787,0,1050
1/1/2015 21:00,27.06,2959,2803,1840,0,1104
1/1/2015 22:00,26.4,2814,2664,1886,0,1153
1/1/2015 23:00,18.36,2662,2551,1925,0,1193
1/2/2015 0:00,17.78,2470,2523,2010,0,1273
1/2/2015 1:00,9.62,2436,2502,2039,0,1296
1/2/2015 2:00,7.67,2432,2462,2052,0,1311
1/2/2015 3:00,10.83,2452,2460,2066,0,1326
1/2/2015 4:00,23.14,2491,2498,2078,0,1337
1/2/2015 5:00,26.1,2610,2587,2081,0,1337
1/2/2015 6:00,27.25,2954,2825,2152,0,1346
1/2/2015 7:00,28.37,3346,3033,2154,0,1344
1/2/2015 8:00,28.37,3501,3161,2160,0,1347
1/2/2015 9:00,28.32,3506,3197,2145,0,1331
1/2/2015 10:00,28.3,3594,3272,2145,0,1330
1/2/2015 11:00,28.39,3628,3311,2149,0,1333
1/2/2015 12:00,28.3,3605,3360,2142,0,1327
1/2/2015 13:00,28.24,3606,3368,2140,0,1325
1/2/2015 14:00,28.12,3599,3350,2129,0,1314
1/2/2015 15:00,28.23,3678,3416,2114,0,1299
1/2/2015 16:00,28.59,3826,3547,2101,0,1285
1/2/2015 17:00,28.73,3860,3573,2108,0,1290
1/2/2015 18:00,28.48,3775,3497,2120,0,1303
1/2/2015 19:00,28.38,3655,3407,2131,0,1314
1/2/2015 20:00,27.85,3479,3258,2137,0,1322
1/2/2015 21:00,27.45,3281,3131,2140,0,1327
1/2/2015 22:00,27.2,3072,2917,2082,0,1331
1/2/2015 23:00,25.94,2838,2864,2081,0,1332
1/3/2015 0:00,17.57,2554,2702,2132,0,1370
1/3/2015 1:00,16.87,2469,2727,2133,0,1372
1/3/2015 2:00,5.75,2433,2696,2128,0,1370
1/3/2015 3:00,5.09,2418,2706,2125,0,1367
1/3/2015 4:00,7.64,2451,2727,2131,0,1373
1/3/2015 5:00,23.85,2520,2796,2124,0,1365
1/3/2015 6:00,22.92,2659,2880,2124,0,1362
1/3/2015 7:00,26.75,2850,2949,2093,0,1329
1/3/2015 8:00,26.98,3011,3077,2094,0,1329
1/3/2015 9:00,27.52,3145,3309,2101,0,1334
1/3/2015 10:00,27.72,3250,3405,2105,0,1336
1/3/2015 11:00,27.73,3275,3375,2099,0,1329
1/3/2015 12:00,27.66,3256,3278,2088,0,1318
1/3/2015 13:00,27.65,3222,3233,2068,0,1298
1/3/2015 14:00,27.81,3234,3219,2030,0,1261
1/3/2015 15:00,28.37,3340,3312,1982,0,1213
1/3/2015 16:00,29.23,3562,3483,1908,0,1136
1/3/2015 17:00,29.53,3657,3569,1834,0,1060
1/3/2015 18:00,29.75,3595,3503,1769,0,995
1/3/2015 19:00,29.46,3449,3352,1713,0,940
1/3/2015 20:00,28.69,3308,3219,1663,0,891
1/3/2015 21:00,27.93,3153,3106,1631,0,862
1/3/2015 22:00,27.7,3016,2960,1620,0,854
1/3/2015 23:00,27.25,2855,2810,1615,0,852
1/4/2015 0:00,27.55,2509,2706,1708,0,932
1/4/2015 1:00,27.38,2444,2682,1715,0,948
1/4/2015 2:00,27.17,2421,2666,1729,0,965
1/4/2015 3:00,27.03,2430,2671,1754,0,990
1/4/2015 4:00,27.04,2470,2688,1765,0,999
1/4/2015 5:00,27.19,2534,2662,1775,0,1008
1/4/2015 6:00,27.13,2657,2741,1768,0,1001
1/4/2015 7:00,27.06,2811,2890,1788,0,1020
1/4/2015 8:00,27.63,3154,3007,1795,0,1025
1/4/2015 9:00,28.03,3291,3090,1807,0,1036
1/4/2015 10:00,28.24,3388,3161,1822,0,1050
1/4/2015 11:00,28.32,3441,3223,1825,0,1051
1/4/2015 12:00,28.24,3445,3196,1817,0,1043
1/4/2015 13:00,28.27,3424,3256,1804,0,1029
1/4/2015 14:00,28.32,3451,3302,1767,0,992
1/4/2015 15:00,28.7,3555,3348,1741,0,962
1/4/2015 16:00,29.58,3787,3521,1713,0,930
1/4/2015 17:00,29.92,3887,3658,1689,0,903
1/4/2015 18:00,29.91,3865,3647,1667,0,882
1/4/2015 19:00,29.77,3782,3593,1635,0,849
1/4/2015 20:00,29.45,3660,3423,1593,0,808
1/4/2015 21:00,29.06,3494,3232,1555,0,771
1/4/2015 22:00,29.03,3319,3042,1498,0,719
1/4/2015 23:00,28.02,3143,2934,1437,0,663
1/5/2015 0:00,29.06,3085,2854,1364,0,588
1/5/2015 1:00,28.88,3042,2784,1302,0,531
1/5/2015 2:00,28.87,3019,2760,1265,0,496
1/5/2015 3:00,28.97,3043,2757,1236,0,468
1/5/2015 4:00,29.34,3103,2766,1213,0,443
1/5/2015 5:00,30.33,3255,2845,1187,0,415
1/5/2015 6:00,31.39,3589,3060,1193,0,385
1/5/2015 7:00,32.84,3979,3312,1168,0,355
1/5/2015 8:00,38.15,4114,3438,1145,0,327
1/5/2015 9:00,41.51,4112,3464,1273,0,296
1/5/2015 10:00,40.46,4175,3554,1241,0,264
1/5/2015 11:00,40.97,4159,3613,1211,0,233
1/5/2015 12:00,40.72,4090,3589,1181,0,202
1/5/2015 13:00,41.92,4044,3577,1153,0,174
1/5/2015 14:00,42,4025,3591,1147,0,158
1/5/2015 15:00,43.1,4087,3625,1137,0,148
1/5/2015 16:00,46.7,4243,3779,1129,0,139
1/5/2015 17:00,56.78,4251,3763,1114,0,125
1/5/2015 18:00,58.84,4137,3683,1101,0,113
1/5/2015 19:00,49.23,3983,3615,1093,0,105
1/5/2015 20:00,44.32,3803,3518,1082,0,96
1/5/2015 21:00,35.86,3614,3418,922,0,95
1/5/2015 22:00,32.56,3438,3318,887,0,96
1/5/2015 23:00,30.03,3250,3132,887,0,100
